type,name,position,program
BIPP,"PT. Bank Central Asia, Tbk",Application Developer,Computer Science
BIPP,PT. Charoen Pokphand Indonesia Tbk,Mobile Programmer,Informatics
BIPP,PT. Anantarupa Yaesa Suptesu Jagarti (Anantarupa Studios),Game Engineer / Developer,Game Application and Technology
BIPP,"PT. Bank Sinarmas, Tbk",Application Developer,Computer Science
BIPP,PT. Nusantara Compnet Integrator,Computer Network Specialist,Computer Science
BIPP,PT. Dewaweb,Cyber Intelligence Officer,Cyber Security
BIPP,PT. Hartono Istana Teknologi (Polytron),Mobile Programmer,Computer Science
BIPP,Kawan Lama Group,Search Engine Optimization,Computer Science
BIPP,PT. Inovasi Daya Solusi,Data Engineer / Developer,Computer Science
BIPP,PT Airpaz Internasional Indonesia,Mobile Programmer,Computer Science
BIPP,PT. Astra Daihatsu Motor,System Engineer,Computer Science
BIPP,Insyst Media Solutions,Web Developer,Computer Science
BIPP,PT Verihubs Inteligensia Nusantara,Data Scientist,Computer Science
BIPP,PT. Nutrifood Indonesia,Application Developer,Computer Science
BIPP,PT. Asuransi Astra Buana,Application Developer,Computer Science
BIPP,PT. Enseval Putera Megatrading Tbk,Mobile Programmer,Mobile Application and Technology
BIPP,PT. Phincon,Technical Consultant,Computer Science
BIPP,PT. Indomobil Finance Indonesia,Full Stack Developer,Computer Science
BIPP,"PT. Mayora Indah, Tbk (Mayora Group)",Application Developer,Computer Science
BIPP,PT Adicipta Inovasi Teknologi (AdIns),Full Stack Developer,Computer Science
BIPP,PT. Tokopedia,Software Engineer,Computer Science
BIPP,SHINTA VR,Game Designer,Game Application and Technology
BIPP,PT. Indomobil Sukses Internasional,Full Stack Developer,Computer Science
BIPP,Sinergi Wahana Gemilang,Mobile Programmer,Computer Science
BIPP,PT. Sayap Mas Utama (Wings Group),Software Engineer,Mobile Application and Technology
BIPP,PT. Super Giga Generasi (Fotoyu),Mobile Programmer,Computer Science
BIPP,PT. Graha Technosoft Informatika,Application Developer,Computer Science
BIPP,PT. Mitra Pajakku,Application Developer,Computer Science
BIPP,"PT Bank OCBC NISP, Tbk",Web Developer,Computer Science
BIPP,DANA Indonesia,Mobile Programmer,Computer Science
BIPP,PT. Freeport Indonesia,Application Developer,Computer Science
BIPP,FKS Group,Programmer,Computer Science
BIPP,PT. Asuransi Jiwa Generali Indonesia,Application Developer,Computer Science
BIPP,"PT. Bank BTPN., Tbk.,",Data Analyst,Computer Science
BIPP,PT. IDStar Cipta Teknologi,Software Engineer,Computer Science
BIPP,"PT. Tempo Scan Pasific, Tbk.",Web Developer,Computer Science
BIPP,PT. Mandiri Utama Finance,Security Engineer,Cyber Security
BIPP,PT. Pharos Indonesia,Application Developer,Computer Science
BIPP,PT. Toba Cahaya Semesta (Toba Consulting),Technical Consultant,Computer Science
BIPP,PT. Maybank Indonesia Finance,Mobile Programmer,Computer Science
BIPP,PT. Realta Chakradarma,Web Developer,Computer Science
BIPP,Samsung Research Indonesia,Data Engineer,Computer Science
BIPP,PT. Adira Dinamika Multi Finance Tbk,Data Scientist,Computer Science
BIPP,PT Bank Mandiri (Persero) Tbk,Technical Consultant,Computer Science
BIPP,PT. Datacomm Diangraha,Penetration Tester,Cyber Security
BIPP,PT. Astra Graphia Information Technology (AGIT),Programmer,Computer Science
BIPP,PT. Agate International,Game Engineer / Developer,Computer Science
BIPP,NTT Indonesia Technology,Technical Consultant,Computer Science
BIPP,PT. Bank Rakyat Indonesia (Persero) Tbk,Management Dev. Program (PMMB),Computer Science
BIPP,PT. Bounche Indonesia,Full Stack Developer,Informatics
BIPP,Bank Negara Indonesia (BNI),Management Dev. Program (PMMB),Computer Science
BIPP,"PT. Bank Maybank Indonesia, Tbk",Programmer,Computer Science
BIPP,PT. Bank UOB Indonesia,QC Tester,Computer Science
BIPP,"PT. Kalbe Farma, Tbk",Mobile Programmer,Computer Science
BIPP,"PT. Telekomunikasi Indonesia, Tbk (Direktorat Digital Business)",Web Developer,Computer Science
BIPP,PT. Global Digital Niaga (blibli.com),Data Analyst,Informatics
BIPP,PT. Global Tiket Network (Tiket.com),Software Engineer,Computer Science
BIPP,PT. Asuransi Sinarmas,Data Analyst,Computer Science
BIPP,PT. Hartono Istana Teknologi (Polytron-Kudus),Programmer,Computer Science
BIPP,PT Gajah Tunggal Tbk,Web Developer,Computer Science
BIPP,PT. Anabatic Digital Raya,Programmer,Computer Science
BIPP,PT. Accelist Lentera Indonesia,Full Stack Developer,Computer Science
BIPP,PT. Sumber Trijaya Lestari (Alfadigital),Programmer,Computer Science
BIPP,Kompas Gramedia,Back End Developer,Computer Science
BIPP,KEB Hana Bank,Full Stack Developer,Computer Science
BIPP,Lembaga Pembiayaan Ekspor Indonesia/ Indonesia Eximbank,Programmer,Informatics
BIPP,PT. Triple One Global,Back End Developer,Computer Science & Statistics
BIPP,PT. Metrodata Electronics Tbk,Programmer,Computer Science & Statistics
BIPP,PT. SOHO Global Health,Data Engineer,Computer Science
BIPP,OmniVR,Web Developer,Computer Science
BIPP,"PT. Telekomunikasi Indonesia, Tbk",Application Developer,Computer Science
BIPP,PT. Media Andalan Nusa (Andalworks),Web Developer,Computer Science
BIPP,PT Derma Global Ventura,Data Analyst,Computer Science & Statistics
BIPP,PT. Tri Adi Bersama (Anteraja),Data Engineer,Computer Science & Statistics
BIPP,PT Aneka Tambang Tbk,Management Dev. Program (PMMB),Cyber Security
BIPP,"PT. Bank Mayapada International, Tbk",Programmer,Computer Science
BIPP,PT. Beon Intermedia (Jagoan Hosting),Programmer,Computer Science
BIPP,PT. Indomarco Prismatama (Indomaret Group),Programmer,Computer Science
BIPP,PT. Seino Indomobil Logistics,Programmer,Computer Science
BIPP,PT. LION SUPER INDO,IT Architect,Computer Science
