title,skills,company,industry
"Sr Product Manager, Revenue","['agile', 'ai', 'machine_learning']",McClatchy,Publishing
Business Analyst/Product Owner,"['agile', 'ai', 'machine_learning']",IRI,Market Research
Product Manager,"['agile', 'ai']",Resonate,Market Research
Software Developer Iii,"['agile', 'asp.net', 'back-end', 'programming', 'c', 'microsoft', 'vb.net', 'sql', 'nosql', 'coding', 'mongo']","iHerb, LLC",Retail
Software Development Engineer Ii,"['agile', 'asp.net', 'back-end', 'programming', 'c', 'microsoft', 'vb.net', 'sql', 'nosql', 'coding', 'mongo']","iHerb, LLC",Retail
Software Developer Ii,"['agile', 'asp.net', 'docker', 'back-end', 'programming', 'c', 'microsoft', 'vb.net', 'sql', 'machine_learning', 'coding']","iHerb, LLC",Retail
Senior Software Development Engineer,"['agile', 'asp.net', 'docker', 'server', 'c', 'microsoft', 'ci/cd', 'sql', 'azure', 'coding']",Blend,Computer Software
"Senior Software Engineer, C#, Asp.Net","['agile', 'asp.net', 'scrum', 'saas', 'programming', 'devops', 'c', 'mssql', 'microsoft', 'azure', 'coding']",STERIS,Medical Device
Software Engineer,"['agile', 'asp.net', 'server', 'powershell', 'git', 'scrum', 'css', 'programming', 'devops', 'c', 'microsoft', 'ci/cd', 'html', 'selenium', 'xml', 'sql', 'sharepoint', 'azure', 'coding', 'jquery']",GovernmentCIO,Management Consulting
Software Developer,"['agile', 'asp.net', 'server', 'scrum', 'programming', 'c', 'microsoft', 'sql', 'sharepoint']",The Rawlings Group,Insurance
Software Development Engineer 2,"['agile', 'asp.net', 'server', 'scrum', 'saas', 'programming', 'c', 'backend', 'microsoft', 'xml', 'sql']",Mitchell International,Computer Software
Business Systems Analyst,"['agile', 'aws', 'azure']",First American Title,Real Estate
"Lead Software Engineer, Data","['agile', 'aws', 'mysql', 'sql', 'nosql']",NAVEX Global,Information Technology & Services
Senior Data Engineer,"['agile', 'aws', 'redshift', 'sql', 'excel', 'coding']",DISQO,Information Technology & Services
Business Analyst/Business Solutions Analyst,"['agile', 'aws']",VITECH,
C# .Net Developer Xamarin,"['agile', 'azure', 'c']",Dice,Internet
Business Analyst,"['agile', 'azure']",Dice,Internet
Principal Software Engineer,"['agile', 'azure']",AVID Technical Resources,Information Technology & Services
"Software Engineer, Android","['agile', 'back-end', 'git', 'kotlin']",Lunchbox,Information Technology & Services
"Software Engineer Ii, Ios","['agile', 'back-end', 'ios', 'programming', 'swift']",Lunchbox,Information Technology & Services
"Staff Software Engineer, Digital Funds","['agile', 'back-end', 'programming', 'java', 'kotlin']",Figure,Financial Services
Senior Software Engineer,"['agile', 'back-end', 'programming', 'java', 'kotlin']",Figure,Financial Services
"Software Engineer, Back-End","['agile', 'back-end', 'programming', 'mongodb', 'devops', 'java', 'aws', 'mysql', 'nosql', 'kotlin']",EAB,Education Management
"Development, Software Engineer, Back-End","['agile', 'back-end', 'programming', 'mongodb', 'devops', 'java', 'aws', 'mysql', 'nosql', 'kotlin']",EAB,Education Management
Senior Backend Software Engineer,"['agile', 'backend', 'java', 'ai', 'machine_learning']","New Relic, Inc.",Computer Software
"Senior Software Engineer, Backend, Hotels Fintech","['agile', 'backend', 'machine_learning']",Hopper,Internet
Senior Product Manager,"['agile', 'bi', 'devops', 'tableau', 'azure']",Concert Health,Mental Health Care
Quality Assurance Analyst,"['agile', 'bi', 'ios']",Grindr,Computer Software
Lead Product Manager,"['agile', 'bi', 'r', 'scrum', 'ai', 'excel']",ADP,Human Resources
Data Engineer Ii,"['agile', 'bi', 'server', 'programming', 'microsoft', 'tableau', 'etl', 'sql', 'excel', 'ssis', 'ssas', 'ssrs']",American Specialty Health,"Health, Wellness & Fitness"
Product Analyst,"['agile', 'bi', 'sql']",C2FO,Financial Services
Control Tower Business Systems Analyst,"['agile', 'bi']",Baxter International Inc.,Medical Device
"Senior Software Engineer, Empire","['agile', 'c', 'c++']",Pocket Gems,Computer Games
Senior Quality Engineer/Automation Test Analyst,"['agile', 'c', 'java', 'coding']",insightsoftware,Computer Software
Senior Quality Assurance Analyst,"['agile', 'c']",Press Ganey,Hospital & Health Care
C# Developer,"['agile', 'c']","Quantix, Inc.",Information Technology & Services
Seniorgpgpu Software Engineer,"['agile', 'c++', 'c/c++', 'matlab', 'git', 'linux']",Codeworks LLC,
Avionics Software Engineer,"['agile', 'c/c++']",Merlin Labs,Computer Software
Embedded Software Engineer With Security Clearance,"['agile', 'c/c++']",ClearanceJobs,Defense & Space
Salesforce Business Analyst,"['agile', 'cloud']",Trident Consulting,Information Technology & Services
Servicenow Developer,"['agile', 'coding', 'machine_learning']",ettain group,Staffing & Recruiting
Servicenow Developer/Architect,"['agile', 'coding']",Cartesian,Management Consulting
"Senior Software Engineer, Web","['agile', 'css']",Lunchbox,Information Technology & Services
Appian Developer,"['agile', 'database']","firstPro, Inc",Staffing & Recruiting
Staff Software Engineer,"['agile', 'docker', 'gcp', 'programming', 'devops', 'java', 'aws', 'splunk']",PayPal,Internet
Java/Angular Software Engineer,"['agile', 'docker', 'git', 'devops', 'ci/cd', 'java', 'shell', 'selenium', 'go', 'coding']",KeyBank,Banking
"Senior Software Engineer, Core","['agile', 'docker', 'git', 'programming', 'php', 'ci/cd', 'aws', 'sql']",Cars.com,Internet
Master Data Developer,"['agile', 'etl', 'sql', 'unix']",Professional Diversity Network,Staffing & Recruiting
Product Owner,"['agile', 'etl', 'sql']",Covetrus,Veterinary
Ux Researcher,"['agile', 'excel']",User Research International,Research
Platform Product Manager- Monetization,"['agile', 'excel']",The Predictive Index,Human Resources
Associate Business Analyst,"['agile', 'excel']",Optum,Hospital & Health Care
Agile Product Owner,"['agile', 'excel']",Cognizant,Information Technology & Services
Frontend Software Engineer,"['agile', 'frontend', 'apache']",Addepar,Computer Software
